title,authors,abstract,publish_text,year,publish,ref_wr,key_words,resource
人工智能在电力系统中的应用,韩祯祥，文福拴，张琦,"首先对第 4届“智能系统在电力系统中的应用”国际会议发表的全部论文做了介绍 ,之后概述了近几年来较受关注的分布式人工智能技术、粗糙集理论和数据挖掘方法在电力系统中的应用情况。",,2000.0,,139,"人工智能,专家系统人工神经元网络,模糊集,遗传算法,进化规划,Tabu搜索",人工智能在电力系统中的应用.pdf
人工智能技术在输电网络故障诊断中的应用述评,毕天姝，杨奇逊,摘 要： 简要介绍了相关的人工智能技术，如专家系统（ｅｘｐｅｒｔ ｓｙｓｔｅｍ），人工神经网络（ａｒｔｉｆｉｃｉａｌ ｎｅｕｒａｌ ｎｅｔｗｏｒｋ），模糊理论（ｆｕｚｚｙ ｔｈｅｏｒｙ，遗传算法（ｇｅｎｅｔｉｃ ａｌｇｏｒｉｔｈｍｓ）及Ｐｅｔｒｉ网络（Ｐｅｔｒｉ ｎｅｔ）等的基本概念，并在此基础上对文献中提出的相应的输电网络故障诊断方法进行述评，分析它们在输电网嶷故障诊断中应用的特点以及存在的主要问题，以促,,2000.0,,218,"输电网络,故障诊断,电力系统,人工智能",人工智能技术在输电网络故障诊断中的应用述评.pdf
人工智能技术在电站锅炉燃烧优化中的应用研究,王培红，李磊磊，陈强...,"电站锅炉的运行面临降低运行成本与降低污染物排放的双重要求,高效低污染的优化决策问题日益引起关注。由于锅炉设备结构庞大,运行条件复杂,燃料性质多变等因素,建立电站锅炉排放特性的函数模型难度极大,为满足锅炉高效低污染燃烧优化研究的需要,该文借助优化燃烧特性试验数据,建立了电站锅炉热效率与 NOx 排放的响应特性的神经网络与解析函数的混合模型。文中使用了非函数形式的响应模型,燃烧优化采用了十进制遗传算法。优化数值解表明,该方法可针对锅炉热效率和 NOx 排放的不同优化目标,给出可行的调整各风门开度等操作量的优化控制方案。",,2004.0,,128,"电站,锅炉,燃烧优化,人工智能,遗传算法,热效率",人工智能技术在电站锅炉燃烧优化中的应用研究.pdf
人工智能技术在电力系统无功电压控制中的应用,盛戈皞，涂光瑜，罗毅,摘 要： 作为电力系统自动化的一个重要组成部分，电力系统无功电压控制具有电力系统控制所固有的复杂性、非线性、不精确性及实时性强等特性，其中有些方面难以用传统的数字模型和常规的控制方法来描述和实现。人工智能技术由于具有传统方法所不具备的智能特性，因而在无功电压控制中得到了广泛的关注。并取得了大量的研究成果。本文综述了近年来专家系统（ES）、人工神经网络（ANN）、模糊理论（FT）、遗传算法（GA）以及多Agent系统（MAS等人工智能技术在电力系统无功电压控制中应用的主要成果和方法，分析比较了它们各自的应用特点，并提出了一些需要解决的问题和值得进一步研究的方向。,,,,107,"人工智能,电力系统,无功电压控制,专家系统",人工智能技术在电力系统无功电压控制中的应用.pdf
基于图论与人工智能搜索技术的电网拓扑跟踪方法,宋少群，朱永利，于红,"摘 要： 提出一种将图论与人工智能搜索技术相结合的快速电网拓扑跟踪方法.该方法采用结点-开关关联矩阵表示站内拓扑,通过推导结点-开关关联矩阵得到表示结点间连通情况的结点邻接矩阵,并构建结点树以表示电网中电气结点的哪连通情况.在实时持续运行环境下、电网发生开关开合事件时,该方法通过修改结点的邻接矩阵来快速跟踪站内拓扑的变化,将站内结点重新分组并映射为电网的结点,然后采用启发式搜索算法对原搜索树进行局部更新,从而实现对发生变化的局部电网拓扑的快速跟踪.对某实际电网进行的测试结果表明,该方法具有良好的通用性和实时性,可满足系统对电网实时拓扑分析的要求.",,2005.0,,85,"电网拓扑跟踪,图论,邻接矩阵,人工智能,启发式搜索,电力系统",基于图论与人工智能搜索技术的电网拓扑跟踪方法.pdf
继电保护中的人工智能技术及其应用,吴斌，刘沛，陈德树,"在参阅大量国内外文献的基础上就人工智能技术在继电保护领域的应用情况作详细的综述,提出一些有价值的观点,并指出了有待进一步解决的问题。",,1995.0,,114,"电力系统,人工智能,继电保护",继电保护中的人工智能技术及其应用.pdf
人工智能技术在电力系统故障诊断中应用,廖志伟，孙雅明，叶青华,"对人工神经网络、专家系统、遗传算法、模糊理论等人工智能技术的基本概念进行了简单的介绍 ,并从实用化的观点对它们在电力系统故障诊断中的应用特点、存在问题进行分析 ,最后指出人工智能技术用于电力系统故障诊断的最新发展动向。",,2003.0,,109,"电力系统,故障诊断,人工智能,人工神经网络,专家系统,模糊理论,遗传算法,潮流计算",人工智能技术在电力系统故障诊断中应用.pdf
探讨人工智能在计算机网络技术中的应用,马越,随着信息技术与计算机网络技术的更新与发展，用户的需求也发生了极大的变化，简单的问题求解及数据运算功能已难以满足其需求。当前，如何为人们提供更加人性化与智能化的服务，已成为计算机网络技术面临的新课题。本文首先介绍人工智能相关概念及计算机网络技术存在的不足之处，进而就人工智能在计算机网络技术中的应用情况展开深入探讨。,,2014.0,,41,"计算机网络技术,人工智能,应用分析",探讨人工智能在计算机网络技术中的应用.pdf
人工智能及其发展应用,邹蕾，张先锋,"人工智能是人类进入信息产业革命时代,达到认识和改造客观世界能力的高峰。文章从理论的角度介绍了人工智能的概念和发展沿革,并对现阶段人工智能研究领域的主要研究方向进行了介绍,最后分析了研究所取得的主要成果。",,2012.0,,81,"人工智能,专家系统,神经网络,模式识别",人工智能及其发展应用.pdf
统一集论与人工智能,张江，林华，贺仲雄,"通过综合经典集合、模糊集合、可拓集合、Vague集合、粗糙集合、集对分析、FHW(模糊灰色物元空间)、FEEC(模糊可拓经济控制)等多种理论,提出了统一集概念,并详细讨论统一集的各种运算以及相关性质.从分析集合理论和人类思维形式之间的关系入手,把统一集理论初步应用到模式识别、聚类分析、逻辑推理、机器学习、智能决策等多种人工智能领域,指出了集合论及其运算系统与逻辑推理系统的等价关系.统一集能对现有的理论进行总结、统一,还为开辟崭新的集合论、逻辑推理方法提供很好的理论基础.",,2002.0,,86,"统一集,人工智能,集合,运算,逻辑推理",统一集论与人工智能.pdf
